rank,item,repo_name,stars,forks,watchers,language,repo_url,username,pullRequests,milestones,issues,totalIssues,vulnerability,created,last_commit,description
1,top-100-stars,freeCodeCamp,337797,27605,8460,JavaScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,28388,25,98,15668,0,2014-12-24T17:49:19Z,2021-12-28T23:15:58Z,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
2,top-100-stars,996.ICU,260280,21430,4344,Rust,https://github.com/996icu/996.ICU,996icu,1919,3,0,0,0,2019-03-26T07:31:14Z,2021-12-28T20:09:42Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
3,top-100-stars,free-programming-books,217437,46638,9624,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,5854,0,31,673,0,2013-10-11T06:50:37Z,2021-12-28T23:19:23Z,:books: Freely available programming books
4,top-100-stars,coding-interview-university,201975,54356,8448,,https://github.com/jwasham/coding-interview-university,jwasham,684,0,32,298,0,2016-06-06T02:34:12Z,2021-12-28T23:18:22Z,A complete computer science study plan to become a software engineer.
5,top-100-stars,vue,191721,31009,6186,JavaScript,https://github.com/vuejs/vue,vuejs,2124,14,322,9647,0,2013-07-29T03:24:51Z,2021-12-28T22:59:55Z,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
6,top-100-stars,developer-roadmap,181734,26100,8028,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,234,0,81,555,0,2017-03-15T13:45:52Z,2021-12-28T23:12:53Z,Roadmap to becoming a developer in 2021
7,top-100-stars,awesome,181722,22392,7286,,https://github.com/sindresorhus/awesome,sindresorhus,1727,0,23,292,0,2014-07-11T13:42:37Z,2021-12-28T23:14:37Z,😎 Awesome lists about all kinds of interesting topics
8,top-100-stars,react,179822,36505,6669,JavaScript,https://github.com/facebook/react,facebook,11733,39,680,11021,0,2013-05-24T16:15:54Z,2021-12-28T23:17:29Z,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
9,top-100-stars,public-apis,172576,19902,3388,Python,https://github.com/public-apis/public-apis,public-apis,2580,0,6,341,0,2016-03-20T23:49:42Z,2021-12-28T23:14:53Z,A collective list of free APIs
10,top-100-stars,tensorflow,161489,86016,7952,C++,https://github.com/tensorflow/tensorflow,tensorflow,19523,9,2487,33656,0,2015-11-07T01:19:20Z,2021-12-28T22:41:43Z,An Open Source Machine Learning Framework for Everyone
11,top-100-stars,system-design-primer,155760,28781,5905,Python,https://github.com/donnemartin/system-design-primer,donnemartin,393,0,143,204,0,2017-02-26T16:15:28Z,2021-12-28T23:11:27Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
12,top-100-stars,bootstrap,154628,75626,7004,JavaScript,https://github.com/twbs/bootstrap,twbs,13179,36,336,21013,0,2011-07-29T21:19:00Z,2021-12-28T22:04:21Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
13,top-100-stars,You-Dont-Know-JS,147780,29396,5993,,https://github.com/getify/You-Dont-Know-JS,getify,848,0,84,885,0,2013-11-16T02:37:24Z,2021-12-28T23:11:42Z,A book series on JavaScript. @YDKJS on twitter.
14,top-100-stars,CS-Notes,143982,45932,5436,Java,https://github.com/CyC2018/CS-Notes,CyC2018,571,0,94,526,0,2018-02-13T14:56:24Z,2021-12-28T18:11:59Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
15,top-100-stars,ohmyzsh,138514,23419,2673,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,6288,1,198,4024,0,2009-08-28T18:15:37Z,2021-12-28T23:04:21Z,"🙃   A delightful community-driven (with 1900+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community."
16,top-100-stars,flutter,133679,19970,3565,Dart,https://github.com/flutter/flutter,flutter,32271,61,9902,63181,0,2015-03-06T22:54:58Z,2021-12-28T22:14:39Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
17,top-100-stars,javascript-algorithms,130395,21370,4298,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,542,0,84,253,0,2018-03-24T07:47:04Z,2021-12-28T23:19:20Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
18,top-100-stars,gitignore,127704,71297,3201,,https://github.com/github/gitignore,github,3871,0,0,0,0,2010-11-08T20:17:14Z,2021-12-28T22:25:13Z,A collection of useful .gitignore templates
19,top-100-stars,build-your-own-x,126396,11663,3903,,https://github.com/danistefanovic/build-your-own-x,danistefanovic,209,0,140,459,0,2018-05-09T12:03:18Z,2021-12-28T22:53:09Z,🤓 Build your own (insert technology here)
20,top-100-stars,Python,125988,33635,5915,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,4918,0,14,881,0,2016-07-16T09:44:01Z,2021-12-28T23:15:58Z,All Algorithms implemented in Python
1,top-100-forks,datasharing,5974,239505,559,,https://github.com/jtleek/datasharing,jtleek,698,0,275,318,0,2013-11-07T13:25:07Z,2021-12-28T23:13:38Z,The Leek group guide to data sharing 
2,top-100-forks,ProgrammingAssignment2,716,139768,130,R,https://github.com/rdpeng/ProgrammingAssignment2,rdpeng,5122,0,178,199,0,2014-01-14T22:07:41Z,2021-12-27T19:17:46Z,Repository for Programming Assignment 2 for R Programming on Coursera
3,top-100-forks,Spoon-Knife,10661,121030,487,HTML,https://github.com/octocat/Spoon-Knife,octocat,22746,0,1140,1521,0,2011-01-27T19:30:43Z,2021-12-28T19:30:00Z,This repo is for demonstration purposes only.
4,top-100-forks,SmartThingsPublic,2207,87009,340,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,SmartThingsCommunity,77125,0,55,114,0,2015-08-04T22:48:02Z,2021-12-27T16:56:09Z,SmartThings open-source DeviceTypeHandlers and SmartApps code
5,top-100-forks,tensorflow,161489,86016,7952,C++,https://github.com/tensorflow/tensorflow,tensorflow,19523,9,2487,33656,0,2015-11-07T01:19:20Z,2021-12-28T22:41:43Z,An Open Source Machine Learning Framework for Everyone
6,top-100-forks,bootstrap,154628,75626,7004,JavaScript,https://github.com/twbs/bootstrap,twbs,13179,36,336,21013,0,2011-07-29T21:19:00Z,2021-12-28T22:04:21Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
7,top-100-forks,gitignore,127704,71297,3201,,https://github.com/github/gitignore,github,3871,0,0,0,0,2010-11-08T20:17:14Z,2021-12-28T22:25:13Z,A collection of useful .gitignore templates
8,top-100-forks,Complete-Python-3-Bootcamp,18415,63936,2556,Jupyter Notebook,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,Pierian-Data,161,0,57,241,0,2018-02-12T19:30:10Z,2021-12-28T23:11:03Z,Course Files for Complete Python 3 Bootcamp Course on Udemy
9,top-100-forks,cgm-remote-monitor,1677,60659,264,JavaScript,https://github.com/nightscout/cgm-remote-monitor,nightscout,6365,18,99,893,0,2014-05-22T00:32:28Z,2021-12-28T10:12:37Z,nightscout web monitor
10,top-100-forks,ExData_Plotting1,215,56123,23,,https://github.com/rdpeng/ExData_Plotting1,rdpeng,895,0,75,100,0,2014-02-09T03:37:01Z,2021-12-26T21:38:13Z,Plotting Assignment 1 for Exploratory Data Analysis
11,top-100-forks,coding-interview-university,201975,54356,8448,,https://github.com/jwasham/coding-interview-university,jwasham,684,0,32,298,0,2016-06-06T02:34:12Z,2021-12-28T23:18:22Z,A complete computer science study plan to become a software engineer.
12,top-100-forks,opencv,58883,49664,2655,C++,https://github.com/opencv/opencv,opencv,12732,49,1959,8553,0,2012-07-19T09:40:17Z,2021-12-28T21:29:47Z,Open Source Computer Vision Library
13,top-100-forks,free-programming-books,217437,46638,9624,,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,5854,0,31,673,0,2013-10-11T06:50:37Z,2021-12-28T23:19:23Z,:books: Freely available programming books
14,top-100-forks,tutorials,28684,46047,1540,Java,https://github.com/eugenp/tutorials,eugenp,11088,0,20,543,0,2013-04-29T18:26:36Z,2021-12-28T21:56:35Z,"Just Announced - ""Learn Spring Security OAuth"": "
15,top-100-forks,CS-Notes,143982,45932,5436,Java,https://github.com/CyC2018/CS-Notes,CyC2018,571,0,94,526,0,2018-02-13T14:56:24Z,2021-12-28T18:11:59Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
16,top-100-forks,models,72341,45309,2888,Python,https://github.com/tensorflow/models,tensorflow,3573,1,1124,6729,0,2016-02-05T01:15:20Z,2021-12-28T22:05:19Z,Models and examples built with TensorFlow
17,top-100-forks,Python-100-Days,113481,44144,6175,Python,https://github.com/jackfrued/Python-100-Days,jackfrued,269,0,443,534,0,2018-03-01T16:05:52Z,2021-12-28T21:25:38Z,Python - 100天从新手到大师
18,top-100-forks,first-contributions,21883,41913,477,,https://github.com/firstcontributions/first-contributions,firstcontributions,45763,0,51,390,0,2016-09-20T14:35:09Z,2021-12-28T22:28:05Z,🚀✨ Help beginners to contribute to open source projects
19,top-100-forks,linux,123314,40402,7906,C,https://github.com/torvalds/linux,torvalds,761,0,0,0,0,2011-09-04T22:48:12Z,2021-12-28T21:55:15Z,Linux kernel source tree
20,top-100-forks,JavaGuide,115029,39283,4594,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,769,0,67,707,0,2018-05-07T13:27:00Z,2021-12-28T18:55:13Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
1,Ruby,rails,49784,19982,2433,Ruby,https://github.com/rails/rails,rails,28576,77,351,15219,0,2008-04-11T02:19:47Z,2021-12-28T22:12:39Z,Ruby on Rails
2,Ruby,jekyll,43840,9648,1446,Ruby,https://github.com/jekyll/jekyll,jekyll,4184,71,88,4499,0,2008-10-20T06:29:03Z,2021-12-28T18:48:50Z,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby
3,Ruby,discourse,34659,7492,907,Ruby,https://github.com/discourse/discourse,discourse,14981,1,0,0,0,2013-01-12T00:25:55Z,2021-12-28T22:19:51Z,"A platform for community discussion. Free, open, simple."
4,Ruby,fastlane,33404,5068,742,Ruby,https://github.com/fastlane/fastlane,fastlane,6854,23,129,11828,0,2014-12-02T17:00:38Z,2021-12-28T21:55:22Z,🚀 The easiest way to automate building and releasing your iOS and Android apps
5,Ruby,huginn,32883,3119,724,Ruby,https://github.com/huginn/huginn,huginn,1156,7,492,1885,0,2013-03-10T06:00:31Z,2021-12-28T22:16:32Z,Create agents that monitor and act on your behalf.  Your agents are standing by!
