language,stars,forks,watchers,pullRequests,milestones,issues,totalIssues
JavaScript,10910513,3280126,348478,1234800,6798,143945,1094405
Java,5646179,2258249,294433,689935,9755,109853,695497
Python,7082521,2051561,267593,1130415,5474,161223,901432
C++,5191068,1494336,246684,1454490,6453,225746,1220396
HTML,1735225,1308624,93136,550141,1572,36707,192984
TypeScript,7325255,1275733,170747,1261814,9585,179439,1401557
C,3957002,1139564,206625,626311,3247,116972,605303
Go,6636257,1135651,205368,1331179,10581,158300,1073103
Ruby,1498384,1092431,71491,1335629,2305,27921,285683
Shell,3073032,881846,116809,494297,1418,40919,255036
PHP,2639254,786155,132040,795154,8377,88832,798596
C#,2595097,720891,159254,684417,8656,152548,864230
CSS,1705701,698826,80269,152853,1434,23233,107767
Objective-C,2538493,530787,102408,118765,1455,49746,213594
R,295025,419927,27679,82497,1188,23541,133730
Swift,2696874,380354,85707,178881,3170,34758,186164
Jupyter Notebook,650890,373205,37275,31587,92,6053,19965
Vue,1278345,336432,39172,97598,439,26827,125801
Kotlin,1566315,326243,60472,235564,3557,46724,264975
Dart,980146,252820,35137,107573,764,43922,233317
Scala,733580,218240,55504,441859,4657,38563,199895
PowerShell,452262,201047,47399,280936,1001,32001,283460
SCSS,424498,186847,22071,166262,1063,11989,74802
Groovy,153337,178937,21676,164892,2664,13742,65698
TeX,502342,147806,32905,59959,431,10598,48783
Dockerfile,296292,144646,19711,60679,335,11473,48512
Makefile,355309,117107,28708,115437,1036,10836,59825
CoffeeScript,435123,96333,24950,55310,600,26015,90345
Batchfile,136661,61465,12480,16572,151,3582,12832
Assembly,250508,55242,16768,27836,157,4829,17658
Pascal,120169,43057,19234,16452,388,10106,41886
ApacheConf,13397,40336,3833,6042,53,701,1762
Rich Text Format,1163,35263,67,43872,0,37,133
Pug,37557,34301,3278,16095,110,956,5402
Less,92599,30898,6873,30719,207,3687,20144
Nix,61472,24285,5865,303827,148,14362,61784
DM,6962,23703,2495,327385,326,17485,122769
Apex,19392,21091,6997,16852,226,2281,9091
Vim script,99471,20005,4129,6638,23,2008,10082
EJS,19311,13887,2992,23378,107,1392,6026
Rascal,19391,8811,2470,2570,14,163,19012
Emacs Lisp,47274,7970,2329,10382,50,1885,13140
DIGITAL Command Language,1535,5644,253,227,0,88,130
Jsonnet,11264,1870,376,2924,3,251,3419
ASL,2667,554,156,40,0,96,702
Julia,3675,224,40,526,1,188,1163
Elixir,2549,208,57,633,7,19,403
Lua,479,142,37,93,0,10,66
Mathematica,763,139,68,39,0,25,89
Perl,196,98,50,73,1,26,92
Lasso,151,79,24,0,0,1,1
Haskell,500,78,58,79,3,52,131
Rust,2073,71,45,31,0,54,80
GDScript,730,57,18,35,0,18,57
NewLisp,363,55,23,7,0,9,25
XSLT,172,48,28,5,0,40,110
Vala,251,43,10,134,0,8,230
Tcl,55,30,21,12,0,12,25
HCL,74,26,20,8,0,8,67
Smalltalk,127,26,14,13,0,1,18
ActionScript,108,21,21,0,2,89,204
NCL,14,20,8,0,0,0,0
Gherkin,103,16,9,9,1,4,8
WebAssembly,21,14,25,23,0,6,12
D,76,14,11,2,1,14,17
Crystal,132,9,6,11,0,8,16
F#,5,9,6,3,0,0,1
Hack,6,8,10,27,0,3,7
Common Lisp,28,7,6,2,0,2,4
Erlang,52,7,21,2,0,0,4
Raku,10,7,171,9,0,0,0
Visual Basic,23,6,8,0,0,0,0
Xojo,20,6,6,0,0,2,3
MATLAB,10,6,2,0,0,2,2
Perl 6,0,5,3,6,0,1,2
XML,13,5,9,832,8,53,1191
Fortran,10,5,4,1,2,1,3
Haxe,11,3,5,0,0,4,17
Smarty,3,2,3,2,0,0,3
Io,8,2,1,0,0,0,0
Clojure,153,2,8,0,0,0,0
SuperCollider,2,1,2,1,0,0,0
Nearley,0,1,1,1,0,0,0
Gnuplot,7,1,3,6,0,0,0
Prolog,0,1,2,0,0,0,0
